t_id,author_uid,favourited_by_uid,interaction_type
946893804509937665,3128371130,30176213,5
946894137575354368,101601965,915783024,5
946894148354715653,39748571,3301597099,5
946894310586253312,3286054472,764413409366466560,5
946894827236421632,15912890,2272954322,5
946895415680499713,2776016335,823121261869993984,5
946895949397291009,918080958183620610,359995092,5
946896101738549250,3098086860,813327952272183296,5
946896111561830400,823490856648851456,915783024,5
946896520934068224,74773917,132283202,5
946896520934068224,74773917,716573580629180416,5
946896765923422208,1140664332,729307612735361024,5
946897102919135233,48252327,2595865716,5
946897543081971713,257560834,1105669592,5
946897706546368512,338082999,30176213,5
946898212513832960,805902995292639232,842348951139307522,5
946898373797339136,789025232,2595865716,5
946898834243964935,14051328,39024756,5
946898870423793664,43797149,300133329,5
946899057544347648,1361519083,16646089,5
946899057544347648,1361519083,317626531,5
946899591655542789,851821818721828865,2219869782,5
946899675495272448,808271943585513472,2931528546,5
946899887479668738,4816,39024756,5
946900841771958272,839382831549800448,2447665636,5
946901228973371397,1624541310,3246614169,5
946901541520207872,25235151,2272954322,5
946901541520207872,25235151,2595865716,5
946901541520207872,25235151,4788444973,5
946901672810434560,707885995476312064,3581448494,5
946901772160835584,2742404390,813327952272183296,5
946902093486419968,16264006,614016613,5
946902106711113729,789025232,2595865716,5
946902129813237760,870849773078589440,16646089,5
946902780790239232,338304650,2826253237,5
946903112341602305,44607937,4271377579,5
946903486410637313,3437784372,4090035974,5
946903680669835264,357286380,889287163409387520,5
946903861360336896,20358140,2855810124,5
946904065866379264,942456850192240640,3246614169,5
946904151929233408,2745226392,2931528546,5
946904195839528960,282515445,813327952272183296,5
946904227623792640,560017652,16646089,5
946904478887714816,1654651374,359995092,5
946904669036486656,119992068,2309002669,5
946904920707305472,25093616,889287163409387520,5
946905116954652672,25235151,2595865716,5
946905617251184640,23688549,811413637780807681,5
946906417176256512,3128371130,30176213,5
946906455906635776,388454092,3581448494,5
946906489108578304,357286380,889287163409387520,5
946906515327270912,2970695490,16646089,5
946906961651683329,956354334,924414421,5
946907268515217409,21851493,22595417,5
946907439227473920,49598833,16646089,5
946907522526351361,728393595963629568,631163382,5
946908207229820928,25235151,301395199,5
946908207229820928,25235151,426665236,5
946908698575888385,53297400,729307612735361024,5
946908716342710273,2783350981,307104391,5
946908803987013633,183515394,2560629409,5
946908827781283840,2745226392,2931528546,5
946908828309905408,856567611345252353,813327952272183296,5
946909214252789760,2617652479,1139088236,5
946909287670013952,23688549,859497871,5
946909429978431489,123710244,742654050206777344,5
946909715153293312,81753446,12851802,5
