t_id,timestamp_ms,uid,nuid,is_reply,is_retweet,is_quote,replied_uid,replied_t_id,retweeted_uid,retweeted_t_id,quoted_uid,quoted_t_id
946753162450436096,1514558518408,20305066,1305,0,0,0,,,,,,
946754066700312577,1514558733998,810516660800999424,5926,0,0,0,,,,,,
946754068654854144,1514558734464,810516660800999424,5926,1,0,0,810516660800999424,946754066700312577,,,,
946754172040314881,1514558759113,80262971,5891,0,1,0,,,22363802,946753925889306624,,
946754221428195328,1514558770888,20305066,1305,1,0,0,20305066,946753162450436096,,,,
946754307558273025,1514558791423,30176213,2765,0,1,0,,,889057456214560768,946408226366504960,,
946754687138545665,1514558881922,20305066,1305,1,0,0,20305066,946754221428195328,,,,
946756303543615489,1514559267303,853273706071601153,6199,0,1,0,,,154101116,946510838478852103,,
946757409166581760,1514559530904,804296555909918720,5902,0,0,0,,,,,,
946757791460442113,1514559622050,22728931,1569,0,1,0,,,1335870978,946025418448044032,,
946759454090866688,1514560018452,4788444973,4328,0,1,1,,,883622431948021761,946744474041860097,355989081,946722833836646400
946760003179778050,1514560149365,162944319,821,0,1,0,,,2160742310,946752910926364672,,
946760155168849921,1514560185602,162944319,821,0,1,1,,,4078672385,946759926797553669,4078672385,946715689393549312
946760294595825665,1514560218844,3301597099,3180,1,0,0,912527686572032001,946746840417841152,,,,
946760416096436226,1514560247812,80262971,5891,0,0,0,,,,,,
946760763946942465,1514560330746,831564295448121345,6083,0,0,0,,,,,,
946762260575346691,1514560687570,236855884,1725,1,0,0,2734817687,946758703126122496,,,,
946762534111010820,1514560752786,236855884,1725,0,1,0,,,367902955,946718104951934976,,
946762729460658176,1514560799361,236855884,1725,0,1,0,,,45421347,946742284028178437,,
946762778735341568,1514560811109,236855884,1725,0,1,1,,,17385649,946738757633499136,399681239,946737290193309696
946762812679843842,1514560819202,236855884,1725,0,1,1,,,399681239,946761411656634368,17385649,946738757633499136
946762879973203968,1514560835246,832078669480763392,6091,1,0,0,1652541,946755203960836096,,,,
946762968896647168,1514560856447,68548922,5123,0,1,0,,,20609518,946689805533851649,,
946762977864122368,1514560858585,236855884,1725,0,1,0,,,281989306,943903425623937026,,
946763037070864386,1514560872701,236855884,1725,0,1,0,,,630086315,946719113052917760,,
946763092070866944,1514560885814,236855884,1725,0,1,0,,,227097751,946719949690687488,,
946763224535375873,1514560917396,162944319,821,1,0,0,447392814,946762514703904768,,,,
946763366239936512,1514560951181,162944319,821,0,1,0,,,4165470614,946402702195429377,,
946763793614245888,1514561053075,80262971,5891,0,1,0,,,70246837,946763245485993984,,
946764330518724609,1514561181083,68548922,5123,1,0,0,56413858,945755698494889984,,,,
946764421019422720,1514561202660,15872858,769,0,0,0,,,,,,
946764457413431296,1514561211337,20912281,1337,1,0,0,218276360,946745637256683521,,,,
946764970733080577,1514561333722,68548922,5123,1,0,0,25073877,946724075157651457,,,,
946764986721845248,1514561337534,162944319,821,0,1,0,,,3005257027,946711311659843584,,
946767586741460994,1514561957427,15872858,769,0,0,0,,,,,,
946767759970463744,1514561998728,810516660800999424,5926,0,1,0,,,3267131857,946764610434097153,,
946767829751144448,1514562015365,810516660800999424,5926,0,1,0,,,1715472217,946764014805245958,,
946767923749707776,1514562037776,810516660800999424,5926,0,1,0,,,900384337283121153,946765381535969287,,
946768142105133056,1514562089836,853273706071601153,6199,0,1,0,,,1041344058,945546582212128768,,
946768419025698816,1514562155859,810516660800999424,5926,0,1,0,,,1409798257,946767985611382784,,
946769092333023232,1514562316388,810516660800999424,5926,0,1,0,,,802052849899143168,946767525911527424,,
946769500052926466,1514562413596,810516660800999424,5926,0,1,0,,,885437727449075712,946639364997578752,,
946769561063366656,1514562428142,831564295448121345,6083,0,0,0,,,,,,
946769568512409600,1514562429918,831564295448121345,6083,0,0,0,,,,,,
946769603518009350,1514562438264,810516660800999424,5926,0,1,0,,,839609747531780096,946768049289547776,,
946769740835340288,1514562471003,810516660800999424,5926,0,1,0,,,731027944940933120,946769374182027265,,
946769864969953281,1514562500599,810516660800999424,5926,0,1,0,,,862351162669842432,946769109705822210,,
946769980158181378,1514562528062,810516660800999424,5926,0,1,0,,,812312309817167872,946769027992391681,,
