nuid_followee,nuid_follower
6384,5400
6383,3223
6383,2221
6383,2663
6365,6512
6365,1177
6365,4413
6365,3415
6365,4630
6353,3904
6353,2678
6353,5512
6353,3486
6353,6214
6353,6146
6353,6269
6352,2962
6352,2644
6343,3206
6343,6269
6343,654
6343,2458
6343,1569
6343,2331
6343,2228
6341,359
6341,315
6341,1529
6333,6269
6333,3263
6333,6325
6307,1957
6307,3508
6307,669
6307,1000
6307,3614
6307,2312
6292,5805
6269,1071
6269,4699
6269,816
6269,1938
6269,3095
6269,3708
6269,6343
6269,592
6269,606
6269,2331
6269,1556
6269,405
6269,6353
6269,387
6269,3832
6269,4776
6269,1401
6269,1518
6268,6266
6266,6268
6261,386
6220,5540
6219,3508
6219,1000
6219,6307
6219,3244
6219,2125
6219,4591
6215,3742
6215,4864
6214,6353
6214,5651
6214,6054
6196,5789
6194,2459
6194,6512
6194,1017
6194,1008
6194,398
6194,977
6194,2281
6194,5612
6194,5763
6194,2663
6194,3287
6194,2999
6194,2579
6194,1106
6194,2849
6194,4864
6194,1100
6194,1060
6194,773
6189,4129
6189,654
6189,2281
6189,4966
6189,3244
6186,1861
6186,2686
6186,2397
6169,4915
6169,2433
6169,5712
6169,2032
6169,1968
6169,4176
6165,5000
6161,2814
6161,332
6161,878
6161,5905
6161,2801
6161,5936
6157,1714
6146,6353
6146,5974
6146,4630
6146,3031
6146,5512
6146,5978
6146,2733
6146,2281
6146,3746
6146,3486
6146,1286
6146,4498
6141,5905
6141,5936
6141,2516
6123,1554
6122,4082
6114,6191
6113,3720
6109,1248
6109,6522
6098,3095
6098,2686
6098,5177
6089,2582
6089,3583
6089,1529
6083,1198
6081,1957
6081,2469
6081,5422
6081,4956
6068,981
6068,69
6068,4905
6065,2871
6060,5525
6060,1160
6058,3971
6056,4080
6056,3064
6056,332
6056,5905
6056,5936
6056,5331
6056,1863
6056,6036
6054,6214
6054,5651
6053,4288
6045,6453
6043,875
6043,1760
6043,2812
6043,6512
6043,3832
6043,3486
6043,1529
6043,3746
6043,3333
6043,4630
6043,1286
6036,4080
6036,5905
6036,1938
6036,878
6036,332
6036,5936
6036,5331
6036,1863
6036,6056
6036,3064
6035,2814
6035,1938
6035,1071
6035,435
6035,6161
6035,2516
6035,6048
6035,878
6035,728
6035,2801
6035,15
6035,5266
6035,3746
6035,2733
6035,5905
6035,332
6035,3064
6035,2982
6035,5936
6035,4966
6035,6036
6035,2281
6035,1254
6035,4294
6035,410
6035,725
6035,2500
6035,3764
6035,5331
6030,728
6025,2056
6025,2733
6024,5123
6023,5525
6023,6512
6023,1529
6023,6112
6023,2999
6023,1897
6015,1962
6010,4312
5999,977
5988,2605
5982,2894
5978,5138
5978,3486
5978,6146
5978,4630
5978,1017
5978,1556
5978,6512
5978,2433
5978,1286
5974,1071
5974,6167
5974,2733
5974,1334
5974,2890
5974,3336
5974,1017
5974,4864
5974,6512
5974,3486
5974,3746
5974,2249
5955,1077
5955,3640
5949,3336
5949,2843
5937,4294
5936,2982
5936,6161
5936,6141
5936,2814
5936,6056
5936,725
5936,1302
5936,5905
5936,1938
5936,2801
5936,3064
5936,332
5936,6035
5936,4902
5936,878
5936,2516
5936,6036
5936,2453
5936,5912
5936,2500
5936,5331
5935,2737
5934,4127
5926,5282
5918,2406
5914,5913
5913,5825
5912,2801
5912,5905
5912,5936
5912,878
5912,2516
5905,6141
5905,6161
5905,4517
5905,1017
5905,1198
5905,3391
5905,6056
5905,725
5905,2516
5905,5331
5905,5936
5901,3746
5901,300
5901,4630
5901,1017
5901,6499
5901,2733
5901,5091
5893,780
5892,1987
5885,2833
5885,471
5880,6118
5878,1113
5870,3493
5867,6352
5862,5225
5862,5499
5853,5774
5851,2039
5851,4334
5850,5229
5840,2008
5840,5525
5840,1655
5840,2502
5840,4011
5840,774
5840,5073
5840,1715
5840,2625
5840,2739
5840,606
5840,55
5840,3406
5840,2939
5839,4289
5839,1529
5839,2458
5839,691
5839,689
5838,4104
5838,6203
5838,2032
5838,5481
5838,5749
5838,2912
5836,4557
5836,4730
5836,387
5836,3893
5836,947
5836,4200
5836,3964
5836,323
5836,669
5836,2047
5836,4294
5836,2733
5836,2082
5836,1589
5836,1017
5836,313
5806,3577
5805,6292
5800,2983
5788,2490
5787,6191
5787,5608
5777,2733
5777,3933
5777,4382
5777,3097
5777,5913
5777,2483
5775,3422
5775,2940
5775,4251
5774,1556
5774,5560
5774,325
5769,1446
5766,2459
5766,6269
5766,6333
5766,1140
5766,1529
5766,669
5766,3614
5766,2783
5766,1957
5763,977
5763,6194
5763,4441
5763,1017
5763,2341
5759,6007
5758,5282
5758,5443
5749,3746
5749,5838
5741,263
5736,2894
5727,3153
5723,2249
5723,669
5723,4011
5723,1060
5723,4294
5723,2281
5723,1529
