v,u,t_id_v,t_id_u,interaction_type,t_time_v,t_time_u
6453,2303,930968382983217152,930298997616427008,3,1510795133716,1510635539000
1334,386,931055843155394560,930025145871171584,3,1510815985846,1510570248000
3832,1529,931071230815354881,931054470426796032,3,1510819654550,1510815658562
3832,1529,931071464844926976,931054470426796032,3,1510819710347,1510815658562
1760,2247,931102221277724672,931099901076824064,3,1510827043252,1510826490073
6353,3964,931116147545587712,931103594035552258,3,1510830363533,1510827370543
5828,2247,931123693027074048,931099901076824064,3,1510832162516,1510826490073
4915,4764,931126098762412033,931112824893423616,3,1510832736088,1510829571351
6353,3964,931280759188439040,931279655432101888,3,1510869610007,1510869346851
6353,3964,931281292380979201,931280193393647616,3,1510869737130,1510869475111
6453,3964,931286375734820865,931279655432101888,3,1510870949096,1510869346851
3964,2047,931297137551294464,931295728239968256,3,1510873514913,1510873178907
2047,3964,931298593733931008,931297137551294464,3,1510873862094,1510873514913
1060,3964,931298826425573376,931297137551294464,3,1510873917572,1510873514913
1060,2047,931299920857874433,931298593733931008,3,1510874178505,1510873862094
3964,2047,931302239519498240,931298593733931008,3,1510874731317,1510873862094
2458,4289,931310138228555776,931289574470336512,3,1510876614516,1510871711734
1760,4915,931409381836681216,931335004793090048,3,1510900276036,1510882543167
6353,2678,931412413072551936,931404952441782273,3,1510900998739,1510899219986
3904,4672,931412462221500417,931409485649780736,3,1510901010457,1510900300787
1018,811,931412630358523904,931403849864114176,3,1510901050544,1510898957111
3487,3951,931457084066996224,931422562768138240,3,1510911649134,1510903418615
1760,2047,931493287839531008,931298593733931008,3,1510920280786,1510873862094
6446,4068,931499553366327301,929861970668351488,3,1510921774604,1510531344000
6453,2733,931614323608240128,931494596361601025,3,1510949137962,1510920592762
6453,2047,931618643070160896,931298593733931008,3,1510950167802,1510873862094
6353,3964,931671150999908352,931667266176892928,3,1510962686668,1510961760454
6146,3964,931715048908529664,931667266176892928,3,1510973152745,1510961760454
606,2739,931782786947588096,931708932355080192,3,1510989302752,1510971694445
500,3441,932154679957405696,932135825093017600,3,1511077968955,1511073473605
3832,1529,932395112440590336,932391772105293824,3,1511135292526,1511134496128
6353,3486,932406510335885315,932394919141941248,3,1511138009996,1511135246440
4289,3973,932452850843521027,932450175464849409,3,1511149058434,1511148420574
