uid,nuid
1000312916,1
1000752384,2
100084797,3
1001396857,4
100368244,5
1003696868,6
1003733388,7
1003872594,8
100389771,9
100509248,10
1005137684,11
1005518916,12
1006195254,13
100718779,14
1007258389,15
100743362,16
1008728467,17
1008959016,18
100954126,19
1009924070,20
1009959350,21
101146920,22
101214380,23
101446623,24
1015396921,25
1015837573,26
1016975653,27
1017095839,28
1017244682,29
101749322,30
1018973844,31
101952546,32
1019620140,33
1019811841,34
102098340,35
1021037594,36
1021312088,37
102168585,38
102176215,39
1021787420,40
1022150305,41
1022524452,42
1022576120,43
102291090,44
1022940240,45
1024025850,46
1025325738,47
1025674682,48
102626978,49
10264052,50
1026885662,51
1028046457,52
1028058206,53
102930340,54
1029667602,55
1029723344,56
103080188,57
1031171726,58
103121713,59
1031655840,60
103166254,61
103203131,62
103261643,63
1033099586,64
103497050,65
103510396,66
103552425,67
103591661,68
1036125870,69
1036448527,70
103706651,71
1037101285,72
103859345,73
1039768968,74
104002762,75
104085971,76
1041222314,77
104295596,78
1043451535,79
104372835,80
104379859,81
1044058922,82
1044517902,83
1046049798,84
104704203,85
1047147678,86
104779158,87
104794438,88
104822034,89
1050248280,90
1054164282,91
105427621,92
1054493268,93
105648227,94
1056588936,95
1056655118,96
10590642,97
105913163,98
1059289459,99
105955359,100
105985797,101
1059930296,102
1059986588,103
106066752,104
1060973564,105
1061661757,106
1062384182,107
106362615,108
106377269,109
106499354,110
10654812,111
1066170584,112
1066244978,113
106655154,114
1067283216,115
1067550541,116
106886433,117
106925934,118
1070477082,119
107090026,120
1071563048,121
1072749246,122
1072819944,123
1073613553,124
107620052,125
1076589888,126
1076754361,127
107976282,128
1082107848,129
108758183,130
1088028596,131
1088223860,132
1089433922,133
1090454059,134
1090587630,135
1090666962,136
1093778641,137
1094052391,138
109489662,139
109520038,140
109746017,141
109799646,142
1099855657,143
1100216155,144
1100912606,145
110176829,146
1102828057,147
110310672,148
110320251,149
1103329614,150
110441685,151
1105030344,152
1105144736,153
1105669592,154
110581589,155
110583398,156
110593223,157
110689780,158
1107391950,159
1107450877,160
1107566058,161
1107857066,162
1108237302,163
1108435093,164
1109754008,165
1109978490,166
1110766316,167
1111581126,168
111170747,169
1112110213,170
1112881310,171
111405335,172
1114791816,173
111525255,174
1115583163,175
111590456,176
1116319172,177
1116673974,178
1116823442,179
111810361,180
111833051,181
111874246,182
1118938736,183
1119529705,184
1120022900,185
1120511377,186
112055841,187
1120624040,188
112083376,189
112122965,190
112127653,191
1121956224,192
112213,193
1123041626,194
112306266,195
112308923,196
1123959386,197
112491044,198
112604803,199
112647498,200
1127171216,201
112738163,202
1127898176,203
1130195665,204
113143347,205
1135471981,206
113577868,207
1138356236,208
1139088236,209
1139141917,210
1141322870,211
114206032,212
1143829442,213
1144748846,214
11453682,215
1146677366,216
1146969223,217
114856649,218
1150450964,219
1150622161,220
1150699860,221
1152412368,222
1152460050,223
115306314,224
1153459430,225
115368342,226
1154788231,227
115557254,228
1156152912,229
1156565024,230
115775300,231
1158934687,232
1159171958,233
115930276,234
116168357,235
1162280083,236
116265743,237
116387542,238
116397903,239
1165205148,240
116621132,241
116729397,242
1167725178,243
116983272,244
117029122,245
117035701,246
1170662059,247
1174143608,248
1174367226,249
117711555,250
117945987,251
118022288,252
118032369,253
118067048,254
1180852519,255
118210352,256
118239807,257
11824332,258
1185197582,259
1188017744,260
1188317978,261
1188517736,262
1189246891,263
118926504,264
1189659446,265
118972250,266
118973677,267
1189998337,268
1191332346,269
1191485286,270
1191658458,271
1193037452,272
1194095791,273
1194890917,274
1195470242,275
1196030059,276
1196367409,277
1197273266,278
1197338658,279
119961437,280
1200885246,281
12009872,282
1203355302,283
1207040172,284
1207090664,285
1207563924,286
1207682022,287
120952289,288
121133156,289
1211560296,290
1212656672,291
121279689,292
121293447,293
121333948,294
121351295,295
121362301,296
121387023,297
1215243068,298
1215335418,299
121609038,300
1216936068,301
121703429,302
1217075545,303
1217387456,304
1218102235,305
121930182,306
121980657,307
121985072,308
122018244,309
1220260494,310
122042318,311
1220449093,312
1221761821,313
1222327117,314
122294669,315
1223559552,316
1223608512,317
12238162,318
122791511,319
122859363,320
1228608180,321
1229142829,322
1229205847,323
122922599,324
1229289816,325
1229510268,326
123085384,327
1232420076,328
1232898421,329
1234035768,330
12359242,331
1237807908,332
1238838583,333
1239154034,334
124009934,335
1240838779,336
1240979929,337
1241052763,338
124130284,339
1241599039,340
1242584395,341
1243320588,342
124342040,343
1243580228,344
1245061830,345
1245325087,346
1245355086,347
1245702187,348
1247737615,349
1247944345,350
1248595586,351
1253664800,352
1259034030,353
125936676,354
125944690,355
1261141832,356
1262467219,357
126262571,358
1263170395,359
126501695,360
126511076,361
1265172816,362
126528425,363
1265946210,364
1266807192,365
1266948338,366
126790910,367
127108726,368
1272782408,369
1274195292,370
127448301,371
127556180,372
127566198,373
127717937,374
127778189,375
1277895858,376
127863983,377
127984741,378
1280179272,379
128120621,380
128180623,381
1282812306,382
1282924572,383
1283635987,384
128406338,385
128411498,386
12851802,387
128537364,388
128775800,389
1287818581,390
1293162805,391
129396299,392
129409267,393
129459870,394
129620044,395
1296542227,396
129747272,397
129761245,398
1298243520,399
129890773,400
1299027708,401
129996631,402
130013159,403
1302034020,404
13024522,405
1303831405,406
130405311,407
130427517,408
1305302186,409
1306124826,410
130675316,411
131051410,412
131156416,413
1312669860,414
1312973322,415
1312994479,416
131347442,417
1315406539,418
131639079,419
131808115,420
1318360664,421
1319411070,422
1319692489,423
132024632,424
1322052529,425
132283202,426
132327476,427
1323276181,428
132344083,429
132358482,430
132384746,431
1323870390,432
132405344,433
132503914,434
132506407,435
1325670984,436
1325924916,437
1326320202,438
1326375853,439
1326490520,440
132695953,441
1327660093,442
132769178,443
132796472,444
132877887,445
1331122237,446
133302476,447
1334196896,448
1335566028,449
133562380,450
1335624200,451
133633733,452
1336427371,453
133778507,454
1339021183,455
1341518376,456
1341676776,457
