t_id_u,created_at,author_uid_u,liked_by_uid_v
927748812172541952,1510027528218,717409249,44104413
927748851498283010,1510027537594,156065636,543522432
927748851645272065,1510027537629,312358635,293317300
927748854216142848,1510027538242,17331252,154428775
927748854216142848,1510027538242,17331252,101619083
927748854216142848,1510027538242,17331252,1059787201
927748854216142848,1510027538242,17331252,543522432
927748858561617921,1510027539278,183036128,154428775
927748858561617921,1510027539278,183036128,3545757434
927748858561617921,1510027539278,183036128,1072129524
927748874185342976,1510027543003,777119847801036800,367279068
927748874185342976,1510027543003,777119847801036800,756768586786635776
927748874185342976,1510027543003,777119847801036800,464155764
927748877951762432,1510027543901,148962634,2642102178
927748913641246720,1510027552410,32201814,848639270525046789
927748925590667264,1510027555259,25887412,109487732
927748925590667264,1510027555259,25887412,101619083
927748925590667264,1510027555259,25887412,872425891892142081
927748925590667264,1510027555259,25887412,3316811522
927748925590667264,1510027555259,25887412,1072129524
927748959006629891,1510027563226,23688549,62217116
927748963444318208,1510027564284,269581619,1849784238
927748963444318208,1510027564284,269581619,1072129524
927748971765817345,1510027566268,212122380,2414013067
927748971765817345,1510027566268,212122380,101619083
927749009002848256,1510027575146,371068152,101619083
927749009002848256,1510027575146,371068152,382017571
927749038509715457,1510027582181,22735611,57864853
927749038509715457,1510027582181,22735611,543522432
927749055308029954,1510027586186,717976555,286604009
927749055308029954,1510027586186,717976555,59148397
927749055308029954,1510027586186,717976555,87867337
927749055308029954,1510027586186,717976555,756768586786635776
927749055308029954,1510027586186,717976555,42696536
927749103978557442,1510027597790,121639467,101619083
927749103978557442,1510027597790,121639467,371068152
927749103978557442,1510027597790,121639467,1072129524
927749124543434752,1510027602693,17716637,106155040
927749137059151873,1510027605677,333357211,2812919877
927749137059151873,1510027605677,333357211,125336637
927749137059151873,1510027605677,333357211,634796515
927749137059151873,1510027605677,333357211,464155764
927749140095913984,1510027606401,15250661,1343292967
927749140095913984,1510027606401,15250661,3316811522
927749150694871040,1510027608928,19243536,38548256
927749152691253248,1510027609404,2768767267,555869004
927749152930275328,1510027609461,1634885394,2715768594
927749152930275328,1510027609461,1634885394,2312673883
927749154930966530,1510027609938,15641984,888234986
927749161004478465,1510027611386,462654587,777119847801036800
927749161004478465,1510027611386,462654587,51902476
927749161004478465,1510027611386,462654587,756768586786635776
927749161004478465,1510027611386,462654587,464155764
927749174644183040,1510027614638,298421861,1023460927
927749174644183040,1510027614638,298421861,1492044919
927749174644183040,1510027614638,298421861,1059787201
927749190511235073,1510027618421,307671401,425580734
927749190511235073,1510027618421,307671401,3221035136
927749190511235073,1510027618421,307671401,908724854815309824
927749190511235073,1510027618421,307671401,278359239
927749190511235073,1510027618421,307671401,243882040
927749190511235073,1510027618421,307671401,851528558719651840
927749190511235073,1510027618421,307671401,22150544
927749190511235073,1510027618421,307671401,845400649403555840
927749213936500739,1510027624006,63362429,1849784238
927749213936500739,1510027624006,63362429,2414013067
927749213936500739,1510027624006,63362429,3545757434
927749213936500739,1510027624006,63362429,233741865
927749213936500739,1510027624006,63362429,1072129524
927749218009169920,1510027624977,151911639,1492044919
927749218009169920,1510027624977,151911639,1023979585
927749256840060930,1510027634235,745935099070451715,1383144660
927749257544765440,1510027634403,2231897731,27961673
927749282807066624,1510027640426,491477080,361007526
927749301802999808,1510027644955,3041940054,95801828
927749301802999808,1510027644955,3041940054,3041780966
927749301802999808,1510027644955,3041940054,80543588
927749301802999808,1510027644955,3041940054,69835888
927749306894843904,1510027646169,908203511170531329,1383144660
927749307310026752,1510027646268,101619083,1383144660
927749309730131968,1510027646845,41298522,1383144660
927749309730131968,1510027646845,41298522,371068152
927749309730131968,1510027646845,41298522,162684366
927749309730131968,1510027646845,41298522,1492044919
927749320127811586,1510027649324,54143306,2414013067
927749320127811586,1510027649324,54143306,1214827802
927749320127811586,1510027649324,54143306,2292365760
927749334468149248,1510027652743,202075000,27607301
927749334468149248,1510027652743,202075000,44096053
927749345771864064,1510027655438,2414013067,461713429
927749345771864064,1510027655438,2414013067,2312673883
927749349924147200,1510027656428,227186327,371068152
927749349924147200,1510027656428,227186327,872425891892142081
927749352822657024,1510027657119,93217769,293950518
927749352822657024,1510027657119,93217769,367279068
927749373055852544,1510027661943,55131390,2414013067
927749373055852544,1510027661943,55131390,543522432
927749373055852544,1510027661943,55131390,123190171
927749375094222848,1510027662429,27410664,2231897731
927749375094222848,1510027662429,27410664,479218463
927749375094222848,1510027662429,27410664,2414013067
927749375094222848,1510027662429,27410664,2382700741
927749375094222848,1510027662429,27410664,555869004
927749375094222848,1510027662429,27410664,54143306
927749375094222848,1510027662429,27410664,1229742127
927749375094222848,1510027662429,27410664,156187141
927749375094222848,1510027662429,27410664,450422006
927749375094222848,1510027662429,27410664,2312673883
927749380861390848,1510027663804,55432787,1492044919
927749380861390848,1510027663804,55432787,599299335
927749432938024960,1510027676220,2382700741,463316611
927749436616335360,1510027677097,1627041102,3014343613
927749436616335360,1510027677097,1627041102,139698825
927749436616335360,1510027677097,1627041102,768055040070168577
927749436616335360,1510027677097,1627041102,20745180
927749436616335360,1510027677097,1627041102,3304980522
927749436616335360,1510027677097,1627041102,111270936
927749488776658945,1510027689533,304217661,101619083
927749520737181696,1510027697153,40985167,2414013067
927749542006493185,1510027702224,1093638847,176007619
927749561841356800,1510027706953,2266925107,44529872
927749561841356800,1510027706953,2266925107,27607301
927749561841356800,1510027706953,2266925107,44337500
927749561841356800,1510027706953,2266925107,44096053
927749620159021056,1510027720857,706395138755399680,2333129299
927749666195640320,1510027731833,176395008,2414013067
927749666195640320,1510027731833,176395008,37662816
927749666195640320,1510027731833,176395008,66947279
927749669152636928,1510027732538,797429353,2414013067
927749669152636928,1510027732538,797429353,392660909
927749669152636928,1510027732538,797429353,2312673883
927749699292971008,1510027739724,402454021,778446050830934016
927749703315349506,1510027740683,262502830,293317300
927749703315349506,1510027740683,262502830,275388095
927749703315349506,1510027740683,262502830,101619083
927749703315349506,1510027740683,262502830,848639270525046789
927749703315349506,1510027740683,262502830,3028105760
927749705685020672,1510027741248,1627041102,808647421
927749705685020672,1510027741248,1627041102,4121381232
927749705685020672,1510027741248,1627041102,412037761
927749705685020672,1510027741248,1627041102,2303817488
927749705685020672,1510027741248,1627041102,2611093651
927749705685020672,1510027741248,1627041102,3007333878
927749705685020672,1510027741248,1627041102,3259874816
927749705685020672,1510027741248,1627041102,2349783404
927749721439039490,1510027745004,106878278,101619083
927749721439039490,1510027745004,106878278,382017571
927749721439039490,1510027745004,106878278,371068152
927749734852280320,1510027748202,51902476,233260865
927749734852280320,1510027748202,51902476,777119847801036800
927749734852280320,1510027748202,51902476,555869004
927749734852280320,1510027748202,51902476,371068152
927749734852280320,1510027748202,51902476,361007526
927749734852280320,1510027748202,51902476,106155040
927749738555953152,1510027749085,2382700741,4330090349
927749773058129920,1510027757311,156881548,924745282310434816
927749773058129920,1510027757311,156881548,908724854815309824
927749773058129920,1510027757311,156881548,848639270525046789
927749773058129920,1510027757311,156881548,845400649403555840
927749816515420161,1510027767672,4673193372,3221035136
927749816515420161,1510027767672,4673193372,3304980522
927749816515420161,1510027767672,4673193372,44104413
927749816515420161,1510027767672,4673193372,2303817488
927749816515420161,1510027767672,4673193372,189137892
927749816515420161,1510027767672,4673193372,845400649403555840
927749832957030400,1510027771592,307671401,71106714
927749832957030400,1510027771592,307671401,2549616986
927749832957030400,1510027771592,307671401,2908699057
927749832957030400,1510027771592,307671401,845400649403555840
927749832957030400,1510027771592,307671401,328404332
927749832957030400,1510027771592,307671401,257028825
927749832957030400,1510027771592,307671401,44529872
927749832957030400,1510027771592,307671401,2608740770
927749845145632769,1510027774498,17331252,733893606
927749845145632769,1510027774498,17331252,10070162
927749867677532160,1510027779870,402454021,778446050830934016
927749867677532160,1510027779870,402454021,2549616986
927749891182419970,1510027785474,156881548,3221035136
927749891182419970,1510027785474,156881548,222363217
927749891182419970,1510027785474,156881548,3007333878
927749891182419970,1510027785474,156881548,2549616986
927749891182419970,1510027785474,156881548,845400649403555840
927749891182419970,1510027785474,156881548,908724854815309824
927749968823123969,1510027803985,2768767267,756768586786635776
927749968823123969,1510027803985,2768767267,464155764
927749968823123969,1510027803985,2768767267,71952630
927749968823123969,1510027803985,2768767267,1523549617
927749982270001152,1510027807191,546757200,275388095
927749982270001152,1510027807191,546757200,313011290
927749989878530048,1510027809005,340251891,367279068
927749989878530048,1510027809005,340251891,42696536
927749993892630529,1510027809962,198623237,255953825
927749993892630529,1510027809962,198623237,634796515
927750004055437312,1510027812385,66143318,777119847801036800
927750004055437312,1510027812385,66143318,69914359
927750004055437312,1510027812385,66143318,1382305476
927750043175493632,1510027821712,23181372,154428775
927750043175493632,1510027821712,23181372,764717481986367488
927750043175493632,1510027821712,23181372,101619083
927750043175493632,1510027821712,23181372,100691652
927750043175493632,1510027821712,23181372,2414013067
927750043175493632,1510027821712,23181372,543522432
927750043175493632,1510027821712,23181372,2240766774
927750087446597632,1510027832267,77247456,756768586786635776
927750138730123265,1510027844494,40985167,2414013067
927750138730123265,1510027844494,40985167,275388095
927750138730123265,1510027844494,40985167,758019904742174720
927750143121637378,1510027845541,156881548,845400649403555840
927750143121637378,1510027845541,156881548,908724854815309824
927750143121637378,1510027845541,156881548,888973476802867201
927750143121637378,1510027845541,156881548,535349247
927750143121637378,1510027845541,156881548,2303817488
927750143121637378,1510027845541,156881548,159060632
927750143121637378,1510027845541,156881548,44529872
927750214106071041,1510027862465,610752712,101619083
927750214106071041,1510027862465,610752712,279797110
927750214106071041,1510027862465,610752712,62217116
927750225871060992,1510027865270,32201814,618536860
927750385837645824,1510027903409,2613149754,95801828
927750385837645824,1510027903409,2613149754,464155764
927750435808583680,1510027915323,22742891,62217116
927750451377737728,1510027919035,156464691,154428775
927750451377737728,1510027919035,156464691,733893606
927750461351800833,1510027921413,2768767267,420672054
927750461351800833,1510027921413,2768767267,86810540
927750461351800833,1510027921413,2768767267,71952630
927750461351800833,1510027921413,2768767267,2349218874
927750461351800833,1510027921413,2768767267,2224029338
927750498823708672,1510027930347,6782812,587439348
927750510513442819,1510027933134,606224766,756768586786635776
927750510513442819,1510027933134,606224766,464155764
927750514090971136,1510027933987,156881548,845400649403555840
927750514090971136,1510027933987,156881548,90417811
927750514090971136,1510027933987,156881548,3014343613
927750514090971136,1510027933987,156881548,111270936
927750514090971136,1510027933987,156881548,55819705
927750514090971136,1510027933987,156881548,20745180
927750526371897344,1510027936915,347076450,93881144
927750526371897344,1510027936915,347076450,275388095
927750637567148032,1510027963426,2266925107,44529872
927750637567148032,1510027963426,2266925107,851528558719651840
927750637567148032,1510027963426,2266925107,331393536
927750690369409024,1510027976015,171802941,154428775
927750693565349888,1510027976777,29610999,3088105489
927750741615263744,1510027988233,38548256,197559970
927750748884078594,1510027989966,21495844,555869004
927750748884078594,1510027989966,21495844,415870071
927750748884078594,1510027989966,21495844,59148397
927750777648562176,1510027996824,197559970,361007526
927750777648562176,1510027996824,197559970,946051921
927750790717964288,1510027999940,151911639,2382700741
927750790717964288,1510027999940,151911639,213379405
927750819302268929,1510028006755,22993014,2642102178
927750819302268929,1510028006755,22993014,154428775
927750819302268929,1510028006755,22993014,101619083
927750820082327554,1510028006941,2613149754,1059787201
927750820082327554,1510028006941,2613149754,313011290
927750820082327554,1510028006941,2613149754,558331337
927750820082327554,1510028006941,2613149754,4656735007
927750820082327554,1510028006941,2613149754,2312673883
927750820082327554,1510028006941,2613149754,2224029338
927750829393801216,1510028009161,126298198,69914359
927750842354089985,1510028012251,156881548,853941674828890112
927750842354089985,1510028012251,156881548,3221035136
927750842354089985,1510028012251,156881548,3007333878
927750842354089985,1510028012251,156881548,2787826921
927750842354089985,1510028012251,156881548,331393536
927750842354089985,1510028012251,156881548,845400649403555840
927750842354089985,1510028012251,156881548,908724854815309824
927750842354089985,1510028012251,156881548,2349783404
927750861245202432,1510028016755,307671401,2608740770
927750861245202432,1510028016755,307671401,189137892
927750941251534849,1510028035830,800572479030734849,367279068
927750964152377344,1510028041290,156881548,845400649403555840
927750964152377344,1510028041290,156881548,908724854815309824
927751018712092673,1510028054298,242410837,457724262
927751074588508161,1510028067620,156881548,778446050830934016
927751074588508161,1510028067620,156881548,2569854282
927751074588508161,1510028067620,156881548,2549616986
927751074588508161,1510028067620,156881548,845400649403555840
927751074588508161,1510028067620,156881548,908724854815309824
927751074588508161,1510028067620,156881548,282549624
927751117336801281,1510028077812,202224305,2382700741
927751158139154433,1510028087540,198623237,255953825
927751170646409216,1510028090522,23132037,554986122
927751175981514752,1510028091794,347076450,95801828
927751175981514752,1510028091794,347076450,54143306
927751175981514752,1510028091794,347076450,420024264
927751175981514752,1510028091794,347076450,17716637
927751191521402880,1510028095499,156881548,845400649403555840
927751191521402880,1510028095499,156881548,908724854815309824
927751285931089922,1510028118008,156881548,778446050830934016
927751285931089922,1510028118008,156881548,908724854815309824
927751285931089922,1510028118008,156881548,845400649403555840
927751334509416449,1510028129590,613765548,3088105489
927751462452465664,1510028160094,1497241220,908724854815309824
927751462452465664,1510028160094,1497241220,20745180
927751462452465664,1510028160094,1497241220,799558888773152768
927751490730582016,1510028166836,36610616,1618760294
927751536360407041,1510028177715,156881548,908724854815309824
927751536360407041,1510028177715,156881548,845400649403555840
927751536360407041,1510028177715,156881548,1316325566
927751559949119488,1510028183339,63362429,275388095
927751622616322048,1510028198280,717976555,464155764
927751622616322048,1510028198280,717976555,254211712
927751637480890368,1510028201824,1316325566,908724854815309824
927751637480890368,1510028201824,1316325566,845400649403555840
927751637480890368,1510028201824,1316325566,222363217
927751658783768576,1510028206903,242410837,457724262
927751658783768576,1510028206903,242410837,2846929876
927751781169356800,1510028236082,40985167,33525847
927751781169356800,1510028236082,40985167,554986122
927751781169356800,1510028236082,40985167,275388095
927751874643599360,1510028258368,51674626,337535309
927751886513541121,1510028261198,21495844,415870071
927751892863557633,1510028262712,1165654760,1492044919
927751892863557633,1510028262712,1165654760,1455664454
927751892863557633,1510028262712,1165654760,2423486102
927751922311770118,1510028269733,293950518,3388753100
927751922311770118,1510028269733,293950518,462654587
927751922311770118,1510028269733,293950518,777119847801036800
927751922311770118,1510028269733,293950518,106155040
927751922311770118,1510028269733,293950518,3804576676
927751922311770118,1510028269733,293950518,2846929876
927751977710239744,1510028282941,9609632,1492044919
927751981711716352,1510028283895,17716637,2613149754
927751984068804608,1510028284457,156881548,845400649403555840
927751984068804608,1510028284457,156881548,908724854815309824
927752017275101185,1510028292374,41085318,55819705
927752059729756160,1510028302496,23688549,1200265776
927752059729756160,1510028302496,23688549,887507479562559488
927752094982873088,1510028310901,44317642,3192591642
927752094982873088,1510028310901,44317642,2569854282
927752094982873088,1510028310901,44317642,255953825
927752105409908736,1510028313387,51902476,774935583353438208
927752105409908736,1510028313387,51902476,233260865
927752105409908736,1510028313387,51902476,3123109778
927752105409908736,1510028313387,51902476,215397946
927752203359502336,1510028336740,142158326,1607922168
927752226013097984,1510028342141,333357211,3123109778
927752272775225344,1510028353290,1024420969,593274131
927752272775225344,1510028353290,1024420969,2224029338
927752317742518272,1510028364011,402454021,908724854815309824
