t_id,timestamp_ms,uid,nuid,is_reply,is_retweet,is_quote,replied_uid,replied_t_id,retweeted_uid,retweeted_t_id,quoted_uid,quoted_t_id
927748794728439808,1510027524059,545487875,1421,0,1,0,,,234611973,927722589803356161,,
927748811027505152,1510027527945,545487875,1421,0,1,1,,,41085318,927734254208892928,27384342,927727114337398784
927748812172541952,1510027528218,717409249,348,0,0,0,,,,,,
927748812793266176,1510027528366,202075000,1207,0,1,0,,,17805878,927747235143565312,,
927748813736914944,1510027528591,56294510,799,0,0,1,,,,,156881548,927727762378432512
927748814953316352,1510027528881,579774943,861,0,1,0,,,17805878,927747235143565312,,
927748818866720768,1510027529814,276222286,71,0,0,0,,,,,,
927748823052574720,1510027530812,9609372,733,0,0,0,,,,,,
927748823853576193,1510027531003,535349247,1097,0,0,0,,,,,,
927748837753548801,1510027534317,115027909,1228,0,0,0,,,,,,
927748851498283010,1510027537594,156065636,137,0,0,0,,,,,,
927748851645272065,1510027537629,312358635,245,0,0,0,,,,,,
927748854216142848,1510027538242,17331252,226,0,0,0,,,,,,
927748858561617921,1510027539278,183036128,44,0,0,0,,,,,,
927748861090660356,1510027539881,535349247,1097,0,1,0,,,263642407,927746746003812352,,
927748874185342976,1510027543003,777119847801036800,14,0,0,0,,,,,,
927748877951762432,1510027543901,148962634,125,0,0,0,,,,,,
927748880858537984,1510027544594,35466620,143,0,0,0,,,,,,
927748883442053125,1510027545210,578553133,1347,0,0,1,,,,,16094885,927624019766996994
927748884603969536,1510027545487,1839277045,116,0,0,0,,,,,,
927748885304393728,1510027545654,2768501,265,0,1,0,,,17331252,927748854216142848,,
927748890266296320,1510027546837,893825913019920384,1098,0,1,0,,,57363330,927745657850413057,,
927748894095679488,1510027547750,2189268012,491,0,1,0,,,56934476,927744184663998466,,
927748902060638208,1510027549649,17332980,776,0,1,0,,,183036128,927748858561617921,,
927748908020723712,1510027551070,380764973,504,0,0,0,,,,,,
927748912667959297,1510027552178,3192591642,1190,0,1,0,,,17331252,927748854216142848,,
927748913641246720,1510027552410,32201814,999,0,0,0,,,,,,
927748916346470400,1510027553055,349004622,800,0,0,0,,,,,,
927748920079409152,1510027553945,545487875,1421,0,1,0,,,535349247,927742585740836865,,
927748925590667264,1510027555259,25887412,365,0,0,0,,,,,,
927748927163482113,1510027555634,3192591642,1190,0,1,0,,,35466620,927748880858537984,,
927748933660454912,1510027557183,851528558719651840,918,0,1,1,,,16094885,927661918881398794,1244449003,927660679682596864
927748940908204032,1510027558911,1017123967,529,0,0,0,,,,,,
927748940925059072,1510027558915,227195141,285,0,1,0,,,25887412,927748925590667264,,
927748940950159361,1510027558921,113193393,364,0,1,0,,,25887412,927748925590667264,,
