v,u,t_id_v,t_id_u,interaction_type,t_time_v,t_time_u
2,1,927159163431673856,927159122985914368,6,1509886945003,6/11/2017 00:02:15
8,7,927166347670425600,927166338384171009,6,1509888657859,6/11/2017 00:30:55
9,8,927166356390367232,927166347670425600,6,1509888659938,6/11/2017 00:30:57
1,2,927166840996007936,927159163431673856,6,1509888775477,6/11/2017 00:02:25
2,1,927166883245252608,927166840996007936,6,1509888785550,6/11/2017 00:32:55
10,2,927166898017468416,927166883245252608,6,1509888789072,6/11/2017 00:33:05
19,10,927172336985526272,927166898017468416,6,1509890085823,6/11/2017 00:33:09
1,2,927174433428602882,927166883245252608,6,1509890585654,6/11/2017 00:33:05
2,1,927174475145244674,927174433428602882,6,1509890595600,6/11/2017 01:03:05
19,1,927180055448621057,927174433428602882,6,1509891926048,6/11/2017 01:03:05
1,2,927182147911331845,927174475145244674,6,1509892424930,6/11/2017 01:03:15
2,1,927182192769470465,927182147911331845,6,1509892435625,6/11/2017 01:33:44
29,18,927186224925753344,927172222636011526,6,1509893396966,6/11/2017 00:54:18
19,1,927187853402083328,927182147911331845,6,1509893785225,6/11/2017 01:33:44
19,1,927195571055624193,927182147911331845,6,1509895625257,6/11/2017 01:33:44
1,2,927197669042327552,927182192769470465,6,1509896125456,6/11/2017 01:33:55
2,1,927197710742179840,927197669042327552,6,1509896135398,6/11/2017 02:35:25
19,1,927203250356436992,927197669042327552,6,1509897456145,6/11/2017 02:35:25
37,36,927205271054835712,927204108624261120,6,1509897937917,6/11/2017 03:01:00
1,36,927205304189837313,927204108624261120,6,1509897945817,6/11/2017 03:01:00
2,1,927205345923158017,927205304189837313,6,1509897955767,6/11/2017 03:05:45
39,2,927205752871276549,927205345923158017,6,1509898052791,6/11/2017 03:05:55
19,1,927211054081478657,927205304189837313,6,1509899316698,6/11/2017 03:05:45
1,2,927212939693690880,927205345923158017,6,1509899766263,6/11/2017 03:05:55
2,1,927212979770228736,927212939693690880,6,1509899775818,6/11/2017 03:36:06
42,37,927214289039056897,927205271054835712,6,1509900087972,6/11/2017 03:05:37
19,1,927218726855954432,927212939693690880,6,1509901146030,6/11/2017 03:36:06
53,44,927219494338158592,927215948700020736,6,1509901329012,6/11/2017 03:48:03
1,2,927220530368925696,927212979770228736,6,1509901576021,6/11/2017 03:36:15
2,1,927220573352194049,927220530368925696,6,1509901586269,6/11/2017 04:06:16
55,37,927221992226406401,927205271054835712,6,1509901924555,6/11/2017 03:05:37
56,36,927222128780312576,927204108624261120,6,1509901957112,6/11/2017 03:01:00
3,48,927223880967532544,927216069550530567,6,1509902374866,6/11/2017 03:48:32
60,33,927224268102033408,927198244349734912,6,1509902467166,6/11/2017 02:37:42
19,1,927226487652134912,927220530368925696,6,1509902996348,6/11/2017 04:06:16
1,2,927228291156774912,927220573352194049,6,1509903426337,6/11/2017 04:06:26
2,1,927228332588007424,927228291156774912,6,1509903436215,6/11/2017 04:37:06
