t_id_u,created_at,author_uid_u,liked_by_uid_v
927166883245252608,1509888785550,22742891,100691652
927187853402083328,1509893785225,787367053,420024264
927214289039056897,1509900087972,126298198,442084884
927214289039056897,1509900087972,126298198,69914359
927226487652134912,1509902996348,787367053,721429073545818112
927234065693999105,1509904803094,22903166,479218463
927234065693999105,1509904803094,22903166,2846929876
927234065693999105,1509904803094,22903166,44078892
927240346819477504,1509906300631,22903166,406916685
927240346819477504,1509906300631,22903166,213414123
927240346819477504,1509906300631,22903166,34699811
927240346819477504,1509906300631,22903166,887507479562559488
927240346819477504,1509906300631,22903166,37662816
927240346819477504,1509906300631,22903166,293950518
927240346819477504,1509906300631,22903166,2964050325
927240346819477504,1509906300631,22903166,15088555
927250686558969856,1509908765817,161954885,275388095
927254185678028800,1509909600072,55432787,1023979585
927256896616009728,1509910246410,161954885,275388095
927257021262393344,1509910276128,96481258,275388095
927257136039542784,1509910303493,96481258,275388095
927257136039542784,1509910303493,96481258,138294089
927257174308302848,1509910312617,96481258,275388095
927257220269596672,1509910323575,96481258,275388095
927257325852749825,1509910348748,96481258,275388095
927257464688410624,1509910381849,96481258,275388095
927257556661157888,1509910403777,96481258,275388095
927257612491546624,1509910417088,96481258,275388095
927257683387809792,1509910433991,96481258,275388095
927257797774811136,1509910461263,96481258,275388095
927257886576721921,1509910482435,96481258,275388095
927261518277644288,1509911348300,161954885,275388095
927264060227256320,1509911954348,161954885,275388095
927265031527350272,1509912185924,61718920,1023979585
927267447505272832,1509912761938,47008273,131782092
927268740911185920,1509913070310,2647441508,232109675
927269740665597954,1509913308670,93217769,887507479562559488
927269740665597954,1509913308670,93217769,2311140595
927269740665597954,1509913308670,93217769,499113155
927269740665597954,1509913308670,93217769,329754838
927269740665597954,1509913308670,93217769,367279068
927270954446622721,1509913598058,1284418651,300678045
927273123229048832,1509914115136,148962634,1078558333
927274082759974912,1509914343906,161954885,275388095
927274309285855232,1509914397914,161954885,275388095
927274614467608577,1509914470675,161954885,275388095
927275094014955520,1509914585008,1284418651,150396918
927277318548086784,1509915115378,156065636,523001226
927277318548086784,1509915115378,156065636,158123632
927279223789596674,1509915569623,161954885,2312673883
927279487854583808,1509915632581,170238260,238118400
927280192418062336,1509915800562,2613149754,899798038218063872
927280192418062336,1509915800562,2613149754,2414013067
927280633008726017,1509915905607,23132037,150396918
927280633008726017,1509915905607,23132037,20719984
927280633008726017,1509915905607,23132037,3120145158
927280633008726017,1509915905607,23132037,272338979
927281015621427200,1509915996829,2647441508,376551482
927282585339756544,1509916371079,18753424,101619083
927282585339756544,1509916371079,18753424,4745210575
927282585339756544,1509916371079,18753424,1072129524
927282585339756544,1509916371079,18753424,80543588
927282585339756544,1509916371079,18753424,4656735007
927283016698695681,1509916473923,752855778,1229742127
927284275224854528,1509916773979,999124148,1023979585
927284275224854528,1509916773979,999124148,523001226
927288114237734913,1509917689271,999124148,700914356372910082
927288114237734913,1509917689271,999124148,1455664454
927288114237734913,1509917689271,999124148,1410056486
927288114237734913,1509917689271,999124148,523001226
927288769614671877,1509917845525,1194747362,457724262
927289421359190016,1509918000913,1284418651,300678045
927290010746814465,1509918141434,197559970,634796515
927290010746814465,1509918141434,197559970,3744250814
927290771056873484,1509918322706,69004648,86810540
927290771056873484,1509918322706,69004648,27410664
927290771056873484,1509918322706,69004648,1023979585
927290771056873484,1509918322706,69004648,15088555
927294072942870528,1509919109937,297191314,2414013067
927294072942870528,1509919109937,297191314,2312673883
927294072942870528,1509919109937,297191314,33525847
927294459393409024,1509919202074,1284418651,380764973
927295178771017728,1509919373587,9609632,764717481986367488
927295178771017728,1509919373587,9609632,555869004
927297494039478272,1509919925590,246301856,376551482
927297700806115328,1509919974887,2613149754,2292365760
927297700806115328,1509919974887,2613149754,79415511
927297700806115328,1509919974887,2613149754,1023979585
927297700806115328,1509919974887,2613149754,238118400
927297700806115328,1509919974887,2613149754,27410664
927297700806115328,1509919974887,2613149754,499113155
927298005769715712,1509920047596,17331252,764717481986367488
927298005769715712,1509920047596,17331252,2813209945
927298005769715712,1509920047596,17331252,100691652
927298532779757568,1509920173245,63313308,46053229
927299043734065152,1509920295066,29610999,227936450
927299677531205634,1509920446175,33115202,104544412
927303074678374400,1509921256118,312358635,57864853
927303853157920768,1509921441722,1146491389,727678062918180864
927303853157920768,1509921441722,1146491389,275388095
927304586251067393,1509921616505,312358635,2414013067
927306330003587072,1509922032248,29610999,293317300
927307186501402624,1509922236453,312358635,293317300
927307186501402624,1509922236453,312358635,523001226
927311463009710081,1509923256052,360418291,461713429
927311597646757889,1509923288152,821918805274177536,99646859
927311597646757889,1509923288152,821918805274177536,461713429
927311597646757889,1509923288152,821918805274177536,2349218874
927311750575173632,1509923324613,40985167,286604009
927311750575173632,1509923324613,40985167,275388095
927311750575173632,1509923324613,40985167,899798038218063872
927315441642479616,1509924204632,23688549,1200265776
927315441642479616,1509924204632,23688549,28330938
927317748954181632,1509924754738,2613149754,275388095
927317748954181632,1509924754738,2613149754,39677805
927317748954181632,1509924754738,2613149754,395514224
927317748954181632,1509924754738,2613149754,23132037
927317748954181632,1509924754738,2613149754,15088555
927318687266177024,1509924978449,61718920,57864853
927318751397253126,1509924993739,28803148,817744731388178433
927324176557285376,1509926287198,374338996,19243536
927324196010565632,1509926291836,999124148,1946156508
927324196010565632,1509926291836,999124148,1059787201
927324196010565632,1509926291836,999124148,523001226
927324357952704512,1509926330446,411786574,563180780
927324767136317440,1509926428003,426396092,125336637
927325668509212673,1509926642907,38548256,3744250814
927327547196506112,1509927090821,40985167,286604009
927328385713389568,1509927290739,797429353,376551482
927328385713389568,1509927290739,797429353,2312673883
927330093604597761,1509927697932,40399320,981648751
927330093604597761,1509927697932,40399320,35593005
927330093604597761,1509927697932,40399320,873052365418516481
927330093604597761,1509927697932,40399320,226857183
927330093604597761,1509927697932,40399320,823416009763627008
927330093604597761,1509927697932,40399320,2715768594
927330093604597761,1509927697932,40399320,523001226
927330093604597761,1509927697932,40399320,877572775
927330669218238464,1509927835169,23688549,232109675
927330669218238464,1509927835169,23688549,466182428
927330669218238464,1509927835169,23688549,279797110
927330669218238464,1509927835169,23688549,32386368
927330669218238464,1509927835169,23688549,877572775
927330699253657600,1509927842330,3748026912,877656023636389893
927331270857695232,1509927978611,3221163518,163680107
927331551985016832,1509928045637,398230757,2382700741
927331777286250496,1509928099353,146408390,275388095
927331777286250496,1509928099353,146408390,733893606
927332006244925440,1509928153941,821918805274177536,2349218874
927332037601538048,1509928161417,821848616704806913,69244382
927333768750235648,1509928574155,40399320,21745838
927334675885854720,1509928790433,23688549,877572775
927335275608469509,1509928933418,17331252,2782541478
927335387889938432,1509928960188,1284418651,380764973
927335387889938432,1509928960188,1284418651,2715768594
927336001399345154,1509929106460,73318876,97424387
927336001399345154,1509929106460,73318876,3271409929
927336001399345154,1509929106460,73318876,388482259
927336001399345154,1509929106460,73318876,716171074904260608
927336001399345154,1509929106460,73318876,1566751266
927336001399345154,1509929106460,73318876,2572647895
927336001399345154,1509929106460,73318876,456442992
927336386306310145,1509929198229,2613149754,275388095
927336386306310145,1509929198229,2613149754,39677805
927337524585832448,1509929469616,2613149754,856039976
927337524585832448,1509929469616,2613149754,2344478803
927337524585832448,1509929469616,2613149754,4745210575
927337524585832448,1509929469616,2613149754,275388095
927337524585832448,1509929469616,2613149754,293317300
927337524585832448,1509929469616,2613149754,3020040592
927337766895210496,1509929527387,200276058,299032248
927337766895210496,1509929527387,200276058,213414123
927337766895210496,1509929527387,200276058,313011290
927337766895210496,1509929527387,200276058,499113155
927338480346079232,1509929697487,63313308,46053229
927339578800799744,1509929959379,1634885394,2715768594
927339578800799744,1509929959379,1634885394,881183515
927339986134986752,1509930056495,2231897731,20756964
927339986134986752,1509930056495,2231897731,69914359
927340596150157312,1509930201934,23545675,279797110
927340596150157312,1509930201934,23545675,337535309
927340891932676102,1509930272454,104544412,499113155
927340891932676102,1509930272454,104544412,69914359
927341197135306752,1509930345220,57314631,3740507773
927341498923827200,1509930417172,717409249,275388095
927342637199319041,1509930688558,200276058,15088555
927342637199319041,1509930688558,200276058,213414123
927342637199319041,1509930688558,200276058,138294089
927342913398358016,1509930754409,29610999,46053229
927343672961654785,1509930935503,216575584,138294089
927343864368783360,1509930981138,33115202,69004648
927343864368783360,1509930981138,33115202,367279068
927343864368783360,1509930981138,33115202,69244382
927344151607132160,1509931049621,156881548,853941674828890112
927344151607132160,1509931049621,156881548,554331348
927344151607132160,1509931049621,156881548,499694976
927344151607132160,1509931049621,156881548,27607301
927344151607132160,1509931049621,156881548,207092182
927344151607132160,1509931049621,156881548,182663887
927344772867657728,1509931197741,104544412,558331337
927345022847946752,1509931257341,741684973,275388095
927345088350511104,1509931272958,40985167,286604009
927345088350511104,1509931272958,40985167,275388095
927345305082875904,1509931324631,35466620,523001226
927346744433582081,1509931667799,1634885394,2715768594
927347300913045504,1509931800474,787367053,479481175
927347343443275776,1509931810614,22742891,479481175
927348043602464768,1509931977545,368143790,554986122
927348043602464768,1509931977545,368143790,15088555
927348043602464768,1509931977545,368143790,464155764
927348775663886337,1509932152082,221561591,856039976
927348775663886337,1509932152082,221561591,1410056486
927349823946100736,1509932402012,42365343,1410056486
927349823946100736,1509932402012,42365343,2681647628
927350234459512834,1509932499886,71412612,2613149754
927350234459512834,1509932499886,71412612,3744250814
927350234459512834,1509932499886,71412612,4745210575
927350234459512834,1509932499886,71412612,727678062918180864
927350234459512834,1509932499886,71412612,39677805
