t_id,timestamp_ms,uid,nuid,is_reply,is_retweet,is_quote,replied_uid,replied_t_id,retweeted_uid,retweeted_t_id,quoted_uid,quoted_t_id
927159122985914368,1509886935360,1428796620,1,0,0,0,,,,,,
927159163431673856,1509886945003,22742891,2,0,0,0,,,,,,
927159417467944960,1509887005570,3421383863,3,0,0,0,,,,,,
927161900055646208,1509887597465,76277548,4,0,0,0,,,,,,
927164343245926401,1509888179967,168981538,5,0,1,0,,,148634930,927144021348065280,,
927165713218879488,1509888506594,2853755257,6,0,1,1,,,16094885,926757421493526530,19898890,926697908879073281
927166002202214403,1509888575493,2853755257,6,0,1,1,,,171699484,926755752106012672,19898890,926697908879073281
927166338384171009,1509888655645,254914790,7,0,0,0,,,,,,
927166347670425600,1509888657859,3314932297,8,0,0,0,,,,,,
927166356390367232,1509888659938,3234598981,9,0,0,0,,,,,,
927166840996007936,1509888775477,1428796620,1,0,0,0,,,,,,
927166883245252608,1509888785550,22742891,2,0,0,0,,,,,,
927166898017468416,1509888789072,100691652,10,0,0,0,,,,,,
927166912743669765,1509888792583,2778262237,11,0,1,0,,,2453781038,927166384311635968,,
927166922256408576,1509888794851,2496643028,12,0,1,0,,,2453781038,927166384311635968,,
927167473840877568,1509888926359,95801828,13,1,0,0,95801828,927166723664502786,,,,
927168148591099904,1509889087232,95801828,13,1,0,0,95801828,927166723664502786,,,,
927169000425119745,1509889290325,777119847801036800,14,0,1,0,,,2613149754,927016533741649926,,
927169126870773760,1509889320472,462654587,15,0,1,0,,,36610616,927001460918726656,,
927169176673722368,1509889332346,27410664,16,0,1,0,,,27410664,926866894304395264,,
927169757102538752,1509889470731,95801828,13,1,0,0,95801828,927168871248805888,,,,
927170842496307201,1509889729509,833693328180903942,17,0,1,0,,,3311039839,923439181065420800,,
927172222636011526,1509890058560,255953825,18,0,1,0,,,39677805,927041726614708226,,
927172336985526272,1509890085823,787367053,19,0,0,0,,,,,,
927172999496814593,1509890243778,2185085300,20,0,0,0,,,,,,
927173296344281088,1509890314552,156881548,21,1,0,0,156881548,927172882639110145,,,,
927173873887469568,1509890452249,44317642,22,0,1,0,,,901945962989404160,927008980227854336,,
927174433428602882,1509890585654,1428796620,1,0,0,0,,,,,,
927174475145244674,1509890595600,22742891,2,0,0,0,,,,,,
927176228037111810,1509891013522,900732667,23,0,0,0,,,,,,
927177469542592513,1509891309520,75367033,24,0,1,0,,,901945962989404160,927008980227854336,,
927179312591261699,1509891748937,253126560,25,0,1,0,,,2613149754,927098689562144769,,
927180055448621057,1509891926048,787367053,19,0,0,0,,,,,,
927180346122055680,1509891995350,2224029338,26,0,1,0,,,3188404056,926978105402470400,,
927181259658448897,1509892213154,1410056486,27,0,0,0,,,,,,
927182147911331845,1509892424930,1428796620,1,0,0,0,,,,,,
927182192769470465,1509892435625,22742891,2,0,0,0,,,,,,
927185794841718784,1509893294426,238361560,28,0,0,0,,,,,,
927185800449495041,1509893295763,156881548,21,0,1,0,,,156881548,927173296344281088,,
927185893508575233,1509893317950,2232607099,29,0,1,0,,,27410664,926696036554366976,,
927186077307224064,1509893361771,925926986043629568,30,0,1,0,,,238361560,927185794841718784,,
927186224925753344,1509893396966,2232607099,29,0,0,0,,,,,,
927187853402083328,1509893785225,787367053,19,0,0,0,,,,,,
927191006260408320,1509894536925,420024264,31,0,1,0,,,39677805,927041726614708226,,
927191089710272512,1509894556821,420024264,31,0,1,0,,,787367053,927187853402083328,,
927193630208679937,1509895162523,762413174381436928,32,0,1,0,,,39677805,927041726614708226,,
927195571055624193,1509895625257,787367053,19,0,0,0,,,,,,
927197669042327552,1509896125456,1428796620,1,0,0,0,,,,,,
927197710742179840,1509896135398,22742891,2,0,0,0,,,,,,
927198244349734912,1509896262620,3049857569,33,0,1,0,,,22993014,927082089790390272,,
927199868816203777,1509896649923,763107873429737472,34,0,0,0,,,,,,
